OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
111,4722,16746,POWER RD & INGLEWOOD ST,Mesa,https://farm9.staticflickr.com/8570/16496672422_b41f4edbe6_o.jpg,184,Weekend,0,0,0,0,0,0,0,1,1,1,0,1,1
112,9110,10038,S GILBERT RD & E FAIRVIEW ST,Gilbert,https://farm8.staticflickr.com/7368/16471666166_6e1032230d_o.jpg,136,Weekend,1,1,1,1,0,1,1,2,0,1,1,1,1
113,3032,16738,POWER RD & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7397/15877540093_f09b6ebea6_o.jpg,184,Weekend,3,3,3,4,2,5,4,8,4,5,4,6,5
114,5220,12579,POWER RD & SOUTHERN AVE,Mesa,https://farm8.staticflickr.com/7372/16311403119_6a5104d57e_o.jpg,40 | 45 | 61 | 184,Weekend,8,8,8,2,1,3,6,6,2,4,2,2,2
115,5103,16289,GILBERT RD & RAY RD,Gilbert,https://farm8.staticflickr.com/7389/15875117994_dee7006117_o.jpg,136,Weekend,0,0,0,0,1,0,1,1,1,1,1,1,1
116,3100,16098,STAPLEY DR & 8TH ST,Mesa,https://farm8.staticflickr.com/7400/16471660076_0bdb7958a9_o.jpg,128,Weekend,1,1,1,1,1,1,1,0,0,0,0,0,0
117,9145,18233,N GILBERT RD & E LOCKWOOD ST,Mesa,https://farm8.staticflickr.com/7379/16311735227_0615fa3fd0_o.jpg,136,Weekend,,,,,,,,,,,,,
118,204,16210,BROWN RD & GILBERT RD,Mesa,https://farm5.staticflickr.com/4567/38414439716_af02e3af3e_o.jpg,136,Weekend,,,,,,0,,0,0,,,,0
119,2885,16208,GILBERT RD & ADOBE ST,Mesa,https://farm8.staticflickr.com/7354/15875125194_6ea5b65b42_o.jpg,136,Weekend,,,,,,0,0,,0,,0,,0
120,5097,16272,GILBERT RD & SOUTHERN AVE,Mesa,https://farm8.staticflickr.com/7302/15875118174_3111d9b564_o.jpg,136,Weekend,9,9,8,7,5,7,9,14,7,7,10,9,10
121,9090,18250,POWER RD PARK AND RIDE,Mesa,https://farm8.staticflickr.com/7312/16496658102_0e4177d94e_o.jpg,184 | 535,Weekend,3,3,3,2,2,3,9,5,3,4,3,16,10
122,8042,17443,GILBERT PARK AND RIDE EB STOP,Gilbert,https://farm8.staticflickr.com/7412/16311740217_57a55f50b3_o.jpg,531,Weekend,,,,,,,,,,,,,
123,2894,16190,GILBERT RD & OLIVE AVE,Gilbert,https://farm8.staticflickr.com/7609/16759986968_c51d4ef9a2_o.jpg,136,Weekend,2,2,2,3,2,1,1,3,2,3,2,2,2
124,5102,16282,GILBERT RD & PALO VERDE ST,Gilbert,https://farm8.staticflickr.com/7329/16309928148_29aeae046e_o.jpg,136,Weekend,0,0,0,0,0,1,0,0,,,,0,
125,3368,16198,GILBERT RD & SOUTHERN AVE,Mesa,https://farm8.staticflickr.com/7398/16311384349_e6e9ca91ac_o.jpg,136,Weekend,8,8,7,7,5,7,8,16,8,8,8,9,9
126,4598,16275,GILBERT RD & BASELINE RD,Gilbert,https://farm8.staticflickr.com/7363/16309951878_941f786c43_o.jpg,136 | 531,Weekend,3,3,3,3,3,4,5,6,3,4,3,4,4
127,5222,12580,POWER RD & HAMPTON AVE,Mesa,https://farm8.staticflickr.com/7295/16309949088_941cc5d935_o.jpg,40 | 45 | 61 | 184,Weekend,9,9,8,2,1,2,3,5,2,5,2,2,3
128,3369,16177,GILBERT RD & WILLIAMS FIELD RD,Gilbert,https://farm8.staticflickr.com/7375/16495919611_056a28565b_o.jpg,136,Weekend,8,8,7,7,6,4,6,9,4,6,7,8,8
129,4600,16262,GILBERT RD & DECATUR ST,Mesa,https://farm8.staticflickr.com/7371/15875119864_716d87b6f4_o.jpg,136,Weekend,1,1,1,1,1,0,0,1,0,0,0,1,1
130,4719,16751,POWER RD & ALBANY ST,Mesa,https://farm8.staticflickr.com/7396/16311382999_9bbcf15b70_o.jpg,184,Weekend,1,1,1,1,1,1,2,3,1,2,1,2,1
131,5499,16257,BROWN RD & LINDSAY RD,Mesa,https://farm8.staticflickr.com/7384/16311747097_f9b7d045e2_o.jpg,136,Weekend,,,,,,,,,,,0,,
132,9586,16914,CENTER ST & 9TH PL,Mesa,https://farm9.staticflickr.com/8593/15875102324_4affda45a7_o.jpg,120 | BUZZ,Weekend,0,0,0,0,0,0,0,0,,0,,,
133,9587,16497,8TH ST- FITCH PARK,Mesa,https://farm9.staticflickr.com/8711/16327543833_3434270ff5_o.jpg,120 | BUZZ,Weekend,0,0,0,0,0,0,1,1,0,0,0,0,0
134,9588,16867,BARKLEY & MCKELLIPS,Mesa,https://farm8.staticflickr.com/7442/15875102414_b820f52196_o.jpg,128,Weekend,0,0,0,0,0,1,1,2,0,0,0,0,0
135,9589,16555,SOLOMON & JAVELINA  AVE,Mesa,https://farm8.staticflickr.com/7394/16496656082_1c0a97c86d_o.jpg,128,Weekend,1,1,1,0,0,1,1,2,0,1,0,0,0
136,9590,16920,POWER RD & MCLELLAN RD,Mesa,https://farm8.staticflickr.com/7449/16311722587_2f39e8f736_o.jpg,184,Weekend,2,2,2,2,1,1,2,4,1,1,1,1,1
137,9592,17313,MCKELLIPS & POWER RD,Mesa,https://farm8.staticflickr.com/7408/16311388489_429a916d73_o.jpg,184,Weekend,6,6,6,3,2,3,3,4,1,4,1,1,1
