,StopID,Juris,Day,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode,Per Capita Income,Population,Poverty Count,Poverty Rate,2018
3829,262,Phoenix,Weekend,305 E CAMELBACK RD,Phoenix,AZ,85012.0,53630.0,7012.0,824.0,11.751283513976041,2.6666666666666665
3836,270,Phoenix,Weekend,805 E CAMELBACK RD,Phoenix,AZ,85014.0,33350.0,27395.0,5190.0,18.945062967694835,47.333333333333336
3840,275,Phoenix,Weekend,10 E CAMELBACK RD,Phoenix,AZ,85012.0,53630.0,7012.0,824.0,11.751283513976041,112.66666666666667
3848,302,Phoenix,Weekend,4601 E CHANDLER BLVD,Phoenix,AZ,85048.0,50184.0,35252.0,1581.0,4.484851923295132,
3849,318,Phoenix,Weekend,501 E DUNLAP AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,3.6666666666666665
3850,319,Phoenix,Weekend,538 E DUNLAP AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,32.333333333333336
3851,320,Phoenix,Weekend,115 E DUNLAP AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,49.666666666666664
3854,347,Phoenix,Weekend,565 N 3RD ST,Phoenix,AZ,85004.0,31227.0,6552.0,1857.0,28.342490842490843,10.333333333333334
3855,349,Phoenix,Weekend,445 N 5TH ST,Phoenix,AZ,85004.0,31227.0,6552.0,1857.0,28.342490842490843,6.0
3856,350,Phoenix,Weekend,601 N CENTRAL AVE,Phoenix,AZ,85004.0,31227.0,6552.0,1857.0,28.342490842490843,19.0
3857,360,Phoenix,Weekend,1620 E GLENDALE AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,15.666666666666666
3858,361,Phoenix,Weekend,1219 E GLENDALE AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,10.333333333333334
3859,362,Phoenix,Weekend,1401 E GLENDALE AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,1.3333333333333333
3860,363,Phoenix,Weekend,2001 E GLENDALE AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,3.6666666666666665
3861,364,Phoenix,Weekend,6844 N 3RD PL,Phoenix,AZ,85012.0,53630.0,7012.0,824.0,11.751283513976041,0.0
3862,365,Phoenix,Weekend,717 E GLENDALE AVE,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,16.0
3863,366,Phoenix,Weekend,6899 N CENTRAL AVE,Phoenix,AZ,85012.0,53630.0,7012.0,824.0,11.751283513976041,6.666666666666667
3865,394,Phoenix,Weekend,9325 N 7TH ST,Phoenix,AZ,85020.0,36727.0,34782.0,5670.0,16.301535276867344,8.333333333333334
