,StopID,Juris,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode
138,5055,Gilbert,Weekend,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
139,3101,Mesa,Weekend,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201 E GREENWAY CIR,Mesa,AZ,85203.0
140,4603,Mesa,Weekend,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1955 E GRANDVIEW ST,Mesa,AZ,85203.0
141,2890,Gilbert,Weekend,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,
142,4721,Mesa,Weekend,5.0,5.0,5.0,4.0,3.0,3.0,4.0,8.0,4.0,4.0,4.0,5.0,4.0,1152 N POWER RD,Mesa,AZ,85205.0
143,4609,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1944 E HALE ST,Mesa,AZ,85203.0
144,5218,Mesa,Weekend,4.0,4.0,4.0,3.0,1.0,3.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,33 LEISURE WORLD,Mesa,AZ,85206.0
145,9143,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,0.0,2012 E HALE ST,Mesa,AZ,85213.0
146,5088,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1955 E 2ND AVE,Mesa,AZ,85204.0
147,3108,Mesa,Weekend,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1209 E DOVER ST,Mesa,AZ,85203.0
148,9504,Mesa,Weekend,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,2015 E MCKELLIPS RD,Mesa,AZ,85213.0
149,5101,Gilbert,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
150,9101,Gilbert,Weekend,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,0.0,,0.0,,,,
151,2891,Gilbert,Weekend,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,,,,
152,4605,Mesa,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1860 E LAUREL ST,Mesa,AZ,85203.0
153,3099,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1208 E 2ND ST,Mesa,AZ,85203.0
154,3371,Mesa,Weekend,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2005 E JUANITA AVE,Mesa,AZ,85204.0
155,8634,Mesa,Weekend,3.0,3.0,3.0,3.0,2.0,4.0,5.0,9.0,6.0,6.0,5.0,4.0,4.0,2754 N POWER RD,Scottsdale,AZ,85215.0
156,5095,Mesa,Weekend,13.0,13.0,12.0,14.0,11.0,11.0,13.0,22.0,10.0,10.0,8.0,7.0,17.0,1954 E MAIN ST,Mesa,AZ,85203.0
157,4723,Mesa,Weekend,7.0,7.0,6.0,7.0,4.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,1932 N POWER RD,Mesa,AZ,85205.0
158,5104,Maricopa County,Weekend,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
159,9140,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2305 S POWER RD,Mesa,AZ,85209.0
160,9355,Gilbert,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,,,
161,3104,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,1836 N STAPLEY DR,Mesa,AZ,85203.0
162,5601,Gilbert,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
163,533,Mesa,Weekend,4.0,4.0,3.0,4.0,5.0,5.0,4.0,7.0,3.0,3.0,4.0,2.0,6.0,1229 E MCKELLIPS RD,Mesa,AZ,85203.0
164,3557,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1019 S STAPLEY DR,Mesa,AZ,85204.0
165,9144,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,2020 E MCKELLIPS RD,Mesa,AZ,85213.0
