,Q1,Q2,Q3,Q4,2018
3590,5.0,1.0,1.0,3.0,
3591,1.0,0.0,0.0,1.0,
3592,3.0,1.0,0.0,1.0,
3593,2.0,0.0,0.0,0.0,
3594,2.0,0.0,0.0,1.0,
3595,14.0,2.0,1.0,9.0,
3596,21.0,5.0,2.0,12.0,
3597,4.0,1.0,1.0,2.0,
3598,18.0,6.0,6.0,10.0,
3599,2.0,0.0,0.0,3.0,
3600,4.0,3.0,0.0,5.0,
3601,12.0,1.0,1.0,8.0,
3602,19.0,5.0,2.0,10.0,
3609,2.0,0.0,0.0,0.0,
3610,2.0,1.0,0.0,1.0,
3611,3.0,2.0,2.0,2.0,
3612,3.0,1.0,2.0,2.0,
3613,7.0,5.0,6.0,5.0,
3614,32.0,13.0,17.0,21.0,
3615,16.0,8.0,7.0,8.0,
3616,29.0,12.0,14.0,13.0,
3617,2.0,1.0,3.0,2.0,
3618,3.0,1.0,3.0,3.0,
3621,7.0,4.0,5.0,3.0,
3622,24.0,11.0,12.0,15.0,
3623,18.0,11.0,12.0,13.0,
3624,73.0,29.0,32.0,45.0,
3625,8.0,4.0,5.0,4.0,
3626,19.0,9.0,9.0,11.0,
3627,63.0,40.0,51.0,44.0,
3628,169.0,82.0,93.0,103.0,
3629,16.0,7.0,8.0,8.0,
3630,33.0,14.0,15.0,16.0,
3631,9.0,4.0,4.0,3.0,
3632,20.0,9.0,10.0,11.0,
3643,5.0,3.0,5.0,4.0,
3644,10.0,6.0,5.0,6.0,
3653,13.0,5.0,4.0,7.0,
3654,37.0,16.0,15.0,20.0,
3667,12.0,9.0,8.0,8.0,
3668,27.0,16.0,17.0,25.0,
3669,58.0,37.0,38.0,42.0,
3670,216.0,97.0,100.0,129.0,
3673,194.0,129.0,169.0,135.0,
3674,486.0,259.0,347.0,324.0,
3679,4.0,2.0,2.0,3.0,
3680,11.0,5.0,5.0,7.0,
3681,1.0,1.0,2.0,2.0,
3682,7.0,3.0,4.0,6.0,
