,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
118,8887,Power RD & Ensenada St,6755 E ENSENADA ST,Mesa,85205,Mesa,Weekend,1,1,1,0,0,1,1,2,0,0,1,1,1
119,8887,Power RD & Ensenada St,6755 E ENSENADA ST,Mesa,85205,Mesa,Weekday,2,2,2,3,1,1,1,4,2,1,2,1,3
120,4610,GILBERT RD & UNIVERSITY DR,1961 E UNIVERSITY DR,Mesa,85203,Mesa,Weekend,8,8,8,6,6,5,6,14,9,10,10,10,11
121,4610,GILBERT RD & UNIVERSITY DR,1961 E UNIVERSITY DR,Mesa,85203,Mesa,Weekday,37,37,38,35,25,31,45,80,41,46,65,60,49
122,5093,GILBERT RD & EMERALD AVE,1011 S KACHINA,Mesa,85204,Mesa,Weekend,0,0,0,0,0,,0,0,,,0,,
123,5093,GILBERT RD & EMERALD AVE,1011 S KACHINA,Mesa,85204,Mesa,Weekday,3,3,3,2,2,3,4,7,0,0,0,1,1
124,5091,GILBERT RD & BROADWAY RD,424 S GILBERT RD,Mesa,85204,Mesa,Weekend,8,8,7,6,5,8,8,13,6,8,9,10,9
125,5091,GILBERT RD & BROADWAY RD,424 S GILBERT RD,Mesa,85204,Mesa,Weekday,37,37,38,45,28,37,38,68,38,44,47,46,40
126,3481,POWER RD & SOUTHERN AVE,6902 E SOUTHERN AVE,Mesa,85209,Mesa,Weekend,22,21,20,36,23,33,45,60,33,68,33,36,38
127,3481,POWER RD & SOUTHERN AVE,6902 E SOUTHERN AVE,Mesa,85209,Mesa,Weekday,42,42,43,57,38,51,52,104,52,93,67,71,66
128,3106,STAPLEY DR & MCLELLAN RD,1614 N ALLEN,Mesa,85203,Mesa,Weekend,0,0,0,0,,0,0,0,,,,0,0
129,3106,STAPLEY DR & MCLELLAN RD,1614 N ALLEN,Mesa,85203,Mesa,Weekday,1,1,1,0,0,0,1,2,0,0,0,,0
130,3031,POWER RD & MAIN ST,6810 E MAIN ST,Mesa,85207,Mesa,Weekend,7,7,7,9,6,11,16,15,8,10,7,6,7
131,3031,POWER RD & MAIN ST,6810 E MAIN ST,Mesa,85207,Mesa,Weekday,19,19,20,26,16,22,22,41,19,23,21,21,21
132,8878,Power Rd & Warner Rd,4353 S POWER RD,Mesa,85212,Mesa,Weekend,4,4,4,2,2,4,4,5,2,2,4,3,2
133,8878,Power Rd & Warner Rd,4353 S POWER RD,Mesa,85212,Mesa,Weekday,6,6,6,7,3,8,7,10,3,3,4,3,4
