FFEBRUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,50,Gln,7,0,5,18,46,5,3,3,3,84,334,263.3,"1,053.3",0.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,50,Phx,114,0,77,510,"1,102",120,77,47,20,"2,000","8,000","1,236.3","4,945.2",1.6," 2,176 ",-8.1%,,,,,,,,,,,,,,,,,,,,,,
SU,50,Sct,8,0,4,44,56,9,5,3,1,126,499,77.5,310.0,1.6, 108 ,16.7%,,,,,,,,,,,,,,,,,,,,,,
SU,51,Gln,23,0,12,76,112,29,4,8,1,256,"1,021",487.3,"1,949.2",0.5, 263 ,-2.7%,,,,,,,,,,,,,,,,,,,,,,
SU,51,GRIC,11,0,9,21,86,5,5,4,2,137,548,261.5,"1,046.0",0.5, 159 ,-13.8%,,,,,,,,,,,,,,,,,,,,,,
SU,51,Phx,51,0,40,222,401,42,18,18,5,774,"3,093",849.2,"3,396.8",0.9, 760 ,1.8%,,,,,,,,,,,,,,,,,,,,,,
SU,52,Phx†,11,0,18,63,179,13,13,8,1,297,"1,180",620.8,"2,483.2",0.5, 180 ,65.0%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Chn,1,0,0,3,2,0,0,0,0,6,25,36.2,144.9,0.2, 9 ,-33.0%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Gua,3,0,2,7,27,1,4,1,0,44,174,77.5,310.0,0.6, 47 ,-6.4%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Phx,3,0,1,23,25,6,7,3,0,65,259,149.6,598.4,0.4, 98 ,-33.7%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Tem,18,0,13,150,290,20,23,20,1,514,"2,052",528.9,"2,115.6",1.0, 601 ,-14.5%,,,,,,,,,,,,,,,,,,,,,,
SU,59,Gln,26,0,16,102,187,23,13,10,3,367,"1,471",358.3,"1,433.2",1.0, 391 ,-6.1%,,,,,,,,,,,,,,,,,,,,,,
SU,59,Phx,20,0,17,81,168,16,16,9,3,318,"1,270",368.2,"1,472.8",0.9, 296 ,7.4%,,,,,,,,,,,,,,,,,,,,,,
SU,60,Gln,12,0,17,55,125,12,8,7,2,229,909,150.5,602.0,1.5, 282 ,-18.8%,,,,,,,,,,,,,,,,,,,,,,
SU,60,Phx,46,0,35,196,397,29,30,18,2,733,"2,930",652.1,"2,608.4",1.1, 881 ,-16.8%,,,,,,,,,,,,,,,,,,,,,,
SU,61,Mes,65,0,30,195,458,37,28,30,7,813,"3,254",820.6,"3,282.4",1.0, 796 ,2.1%,,,,,,,,,,,,,,,,,,,,,,
SU,61,Phx,60,0,32,162,444,34,44,35,9,776,"3,100",749.0,"2,996.0",1.0, 744 ,4.3%,,,,,,,,,,,,,,,,,,,,,,
SU,61,Tem,33,0,16,166,326,28,16,21,3,585,"2,340",383.5,"1,534.0",1.5, 612 ,-4.4%,,,,,,,,,,,,,,,,,,,,,,
SU,62,Tem,22,0,11,98,168,22,9,10,3,330,"1,317",871.8,"3,487.2",0.4, 356 ,-7.3%,,,,,,,,,,,,,,,,,,,,,,
SU,65,Tem,14,0,5,78,174,21,15,8,2,307,"1,227",310.7,"1,242.8",1.0, 344 ,-10.8%,,,,,,,,,,,,,,,,,,,,,,
SU,66,Chn,1,0,2,9,19,2,2,2,0,35,138,81.6,326.4,0.4, 42 ,-16.7%,,,,,,,,,,,,,,,,,,,,,,
SU,66,GRIC,3,0,1,15,49,4,2,6,1,74,292,8.1,32.4,9.1, 77 ,-3.9%,,,,,,,,,,,,,,,,,,,,,,
SU,66,Tem,14,0,9,72,159,16,9,8,3,279,"1,112",273.1,"1,092.3",1.0, 227 ,22.9%,,,,,,,,,,,,,,,,,,,,,,
