"NoName","X","Y","StopID","NextRide","Location","Juris","WaterFountain","ADA","Type_","ATIS_ID","Direction","Long","Lat","Routes","Zip","City","Address","State","AUTO_UNIQUE_ID_2020-07-27_pwewiora08_filter_bus_1000","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"1074","-111.909227047403","33.424498667154104","9422.0","18400.0","S MCCLINTOCK DR AT 526 S MCCLINTOCK","Tempe","No","Yes","Standard","12069.0","Southbound","-111.909227047403","33.424498667154104","62 | 81","","","","",339,"1",1515.6259,"","AggieReverseGeocoder","",4.01,"13240002G","525 S MCCLINTOCK DR","Mesa","AZ","85281","2228"
"1075","-111.909304658146","33.4214893170463","5172.0","15195.0","MCCLINTOCK DR & UNIVERSITY DR","Tempe","No","Yes","Standard","5186.0","Southbound","-111.909304658146","33.4214893170463","81","","","","",340,"1",453.1231,"","AggieReverseGeocoder","",4.01,"13260031","1795 E UNIVERSITY DR","Mesa","AZ","85281","8497"
"1076","-111.90923576329399","33.4197495142136","5177.0","17364.0","MCCLINTOCK DR & 8TH ST","Tempe","No","Yes","Standard","5191.0","Southbound","-111.90923576329399","33.4197495142136","81","","","","",341,"1",1437.5017,"","AggieReverseGeocoder","",4.01,"13260038","1702 E 8TH ST","Mesa","AZ","85281","4368"
"1077","-111.909217196247","33.417056609114496","5163.0","15197.0","MCCLINTOCK DR & DON CARLOS AVE","Tempe","No","Yes","Standard","5177.0","Southbound","-111.909217196247","33.417056609114496","81","","","","",342,"1",1406.2531,"","AggieReverseGeocoder","",4.01,"13261122A","1701 E DON CARLOS AVE","Mesa","AZ","85281","4307"
"1078","-111.90926724721399","33.4143398216351","5156.0","15198.0","MCCLINTOCK DR & APACHE BLVD","Tempe","No","Yes","Standard","5170.0","Southbound","-111.90926724721399","33.4143398216351","81","","","","",343,"1",1375.0008,"","AggieReverseGeocoder","",4.01,"13306001F","1747 E APACHE BLVD","Mesa","AZ","85281","5957"
"1079","-111.90926602498001","33.4070845948488","5159.0","15199.0","MCCLINTOCK DR & BROADWAY RD","Tempe","No","Yes","Standard","5173.0","Southbound","-111.90926602498001","33.4070845948488","81 | 520","","","","",344,"1",1453.1411,"","AggieReverseGeocoder","",4.01,"13344028L","2011 S MCCLINTOCK DR","Tempe","AZ","85282","1605"
"1080","-111.909251938075","33.4038898647755","5168.0","15200.0","MCCLINTOCK DR & PALMCROFT DR","Tempe","No","Yes","Standard","5182.0","Southbound","-111.909251938075","33.4038898647755","81 | 520","","","","",345,"1",1359.3759,"","AggieReverseGeocoder","",4.01,"13331179","1749 E PALMCROFT DR","Tempe","AZ","85282","2632"
"1081","-111.90926052318501","33.3999172020131","5155.0","15201.0","MCCLINTOCK DR & ALAMEDA DR","Tempe","No","Yes","Standard","5169.0","Southbound","-111.90926052318501","33.3999172020131","81 | 520 | MARS","","","","",346,"1",1515.6244,"","AggieReverseGeocoder","",4.01,"13333380","2705 S ALDER DR","Tempe","AZ","85282","2767"
"1082","-111.909260520291","33.3980630992481","5160.0","15202.0","MCCLINTOCK DR & CAMPUS DR","Tempe","No","Yes","Standard","5174.0","Southbound","-111.909260520291","33.3980630992481","61 | 81 | 520 | MARS","","","","",347,"1",1484.3805,"","AggieReverseGeocoder","",4.01,"13333206","1749 E CAMPUS DR","Tempe","AZ","85282","2774"
"1083","-111.9092768665","33.3949566662787","5174.0","15203.0","MCCLINTOCK DR & SOUTHERN AVE","Tempe","No","Yes","Standard","5188.0","Southbound","-111.9092768665","33.3949566662787","61 | 81 | 520","","","","",348,"1",1531.2458,"","AggieReverseGeocoder","",4.01,"13334006R","3115 S MCCLINTOCK DR","Tempe","AZ","85282","5601"
