NoName,X,Y,OBJECTID,StopID,NextRide,Location,Juris,DateUpdated,Long,Lat,Routes,Zip,State,Address,AUTO_UNIQUE_ID_2020-07-27_cceni03_filter_bus3001,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5250,-112.0567283,33.56805732,5359,1906,10911,12TH ST & DUNLAP AVE,Phoenix,1.54E+12,-112.0567283,33.56805732,SSCR | 12,,,,316,1,921.9192,,AggieReverseGeocoder,,4.01,15934155,9001 N 12TH ST,Phoenix,AZ,85020,2631
5251,-112.056205,33.538699,5360,1907,10902,12TH ST & GLENDALE AVE,Phoenix,1.54E+12,-112.056205,33.538699,12,,,,317,1,1453.1231,,AggieReverseGeocoder,,4.01,16028057,7008 N 12TH ST,Phoenix,AZ,85020,5402
5252,-112.056606,33.557338,5361,1908,10908,12TH ST & GRISWOLD RD,Phoenix,1.54E+12,-112.056606,33.557338,12,,,,318,1,875.0002,,AggieReverseGeocoder,,4.01,16011020,1202 E GRISWOLD RD,Phoenix,AZ,85020,3838
5253,-112.056217,33.505829,5362,1909,10893,12TH ST & HIGHLAND AVE,Phoenix,1.54E+12,-112.056217,33.505829,12,,,,319,1,609.3705,,AggieReverseGeocoder,,4.01,15510002,4707 N 12TH ST,Phoenix,AZ,85014,4009
5254,-112.0562282,33.4952361,5363,1910,10889,12TH ST & INDIAN SCHOOL RD,Phoenix,1.54E+12,-112.0562282,33.4952361,12,,,,320,1,625.0002,,AggieReverseGeocoder,,4.01,15505046,4107 N 12TH ST,Phoenix,AZ,85014,4933
5255,-112.056173,33.531212,5364,1911,10900,12TH ST & MARYLAND AVE,Phoenix,1.54E+12,-112.056173,33.531212,12,,,,321,1,906.2492,,AggieReverseGeocoder,,4.01,16107079,1202 E MARYLAND AVE,Phoenix,AZ,85014,1342
5256,-112.056318,33.466153,5365,1912,10877,12TH ST & MCDOWELL RD,Phoenix,1.54E+12,-112.056318,33.466153,12,,,,322,1,640.6268,,AggieReverseGeocoder,,4.01,11724113,1206 E MCDOWELL RD,Phoenix,AZ,85006,2614
5257,-112.056193,33.517001,5366,1913,10896,12TH ST & MISSOURI AVE,Phoenix,1.54E+12,-112.056193,33.517001,12,,,,323,1,937.5041,,AggieReverseGeocoder,,4.01,16203047,1202 E MISSOURI AVE,Phoenix,AZ,85014,2921
5258,-112.056182,33.520301,5367,1914,10897,12TH ST & MONTEBELLO AVE,Phoenix,1.54E+12,-112.056182,33.520301,12,,,,324,1,937.5002,,AggieReverseGeocoder,,4.01,16204147A,1201 E ESCONDIDO DR,Phoenix,AZ,85014,2342
5259,-112.0562474,33.54222712,5368,1915,10903,12TH ST & MYRTLE AVE,Phoenix,1.54E+12,-112.0562474,33.54222712,12,,,,325,1,1500.0046,,AggieReverseGeocoder,,4.01,16023051,1202 E MYRTLE AVE,Phoenix,AZ,85020,5426
