Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5452,-112.1685458,33.40301947,20034,51ST AVE & BROADWAY RD,Phoenix,,-112.1685458,33.40301947,AZ, , , ,953,1,687.4996,,AggieReverseGeocoder,,4.01,10474609,5104 W GRENADINE RD,Gila Crossing,AZ,85339,1914
5453,-112.1684908,33.39889932,20035,51ST AVE & ROESER RD,Phoenix,,-112.1684908,33.39889932,AZ, , , ,954,1,265.626,,AggieReverseGeocoder,,4.01,10474608,5205 S 51ST DR,Gila Crossing,AZ,85339,1909
5454,-112.1690324,33.41208984,20049,51ST AVE & BROADWAY RD,Phoenix,,-112.1690324,33.41208984,AZ, , , ,955,1,796.8757,,AggieReverseGeocoder,,4.01,10459046,5142 W ODEUM LN,Phoenix,AZ,85043,6502
5455,-112.1682921,33.40311353,20048,51ST AVE & BROADWAY RD,Phoenix,,-112.1682921,33.40311353,AZ, , , ,956,1,718.7516,,AggieReverseGeocoder,,4.01,10474609,5104 W GRENADINE RD,Gila Crossing,AZ,85339,1914
5456,-112.1681982,33.39969875,20047,51ST AVE & ROESER RD,Phoenix,,-112.1681982,33.39969875,AZ, , , ,957,1,281.2506,,AggieReverseGeocoder,,4.01,10474609,5104 W GRENADINE RD,Gila Crossing,AZ,85339,1914
5457,-112.1684683,33.3956462,20036,51ST AVE & SUNLAND AVE,Phoenix,,-112.1684683,33.3956462,AZ, , , ,958,1,265.625,,AggieReverseGeocoder,,4.01,10474554,5513 S 51ST DR,Gila Crossing,AZ,85339,1912
5458,-112.1681821,33.39633086,20046,51ST AVE & SUNLAND AVE,Phoenix,,-112.1681821,33.39633086,AZ, , , ,959,1,281.2485,,AggieReverseGeocoder,,4.01,10475009C,5449 S 51ST AVE,Gila Crossing,AZ,85339,9784
5459,-112.1680212,33.39257766,20045,51ST AVE & SOUTHERN AVE,Phoenix,,-112.1680212,33.39257766,AZ, , , ,960,1,296.8757,,AggieReverseGeocoder,,4.01,10479002H,5115 W SOUTHERN AVE,Gila Crossing,AZ,85339,6303
5460,-112.1685005,33.39140813,20037,51ST AVE & SOUTHERN AVE,Phoenix,,-112.1685005,33.39140813,AZ, , , ,961,1,281.2507,,AggieReverseGeocoder,,4.01,10479002H,5115 W SOUTHERN AVE,Gila Crossing,AZ,85339,6303
5461,-112.1684455,33.38884839,20038,51ST AVE & BURGESS LN,Phoenix,,-112.1684455,33.38884839,AZ, , , ,962,1,281.2513,,AggieReverseGeocoder,,4.01,10479213,6309 S 51ST DR,Gila Crossing,AZ,85339,9659
5462,-112.1680534,33.38924085,20044,51ST AVE & BURGESS LN,Phoenix,,-112.1680534,33.38924085,AZ, , , ,963,1,281.2503,,AggieReverseGeocoder,,4.01,10478055,5043 W BURGESS LN,Gila Crossing,AZ,85339,4238
5463,-112.1681486,33.38513236,20043,51ST AVE & VINEYARD RD,Phoenix,,-112.1681486,33.38513236,AZ, , , ,964,1,281.2503,,AggieReverseGeocoder,,4.01,10477539,5034 W ST KATERI DR,Gila Crossing,AZ,85339,8207
5464,-112.1684536,33.38437595,20039,51ST AVE & VINEYARD RD,Phoenix,,-112.1684536,33.38437595,AZ, , , ,965,1,281.2528,,AggieReverseGeocoder,,4.01,10488233,5107 W GLASS LN,Gila Crossing,AZ,85339,6938
5465,-112.1684191,33.38208959,20040,51ST AVE & MALDONADO RD,Phoenix,,-112.1684191,33.38208959,AZ, , , ,966,1,281.2526,,AggieReverseGeocoder,,4.01,10488142,7007 S 51ST DR,Gila Crossing,AZ,85339,6935
5466,-112.1681177,33.38239551,20042,51ST AVE & MALDONADO RD,Phoenix,,-112.1681177,33.38239551,AZ, , , ,967,1,296.875,,AggieReverseGeocoder,,4.01,10488142,7007 S 51ST DR,Gila Crossing,AZ,85339,6935
