,Unnamed: 0,X,Y,StopID,Location,Juris,Type_,Long,Lat,Zipcode,City,Street Address
477,1233,-111.962970215303,33.3270244658475,9445.0,S PRIEST DR NS W KNOX RD,Tempe,Standard,-111.962970215303,33.3270244658475, , , 
478,1234,-111.96297535302,33.3318369244953,9446.0,S PRIEST DR & W GREENTREE DR,Tempe,Standard,-111.96297535302,33.3318369244953, , , 
479,1235,-111.96292590278601,33.3351122756292,7993.0,PRIEST DR & WARNER RD,Tempe,Standard,-111.96292590278601,33.3351122756292, , , 
480,1236,-111.96293354493,33.340888858967396,9447.0,S PRIEST DR & RUBY DR,Tempe,Standard,-111.96293354493,33.340888858967396, , , 
481,1237,-111.962965226662,33.3458186950988,9448.0,S PRIEST DR & W AUTO DR,Tempe,Standard,-111.962965226662,33.3458186950988, , , 
482,1238,-111.962917498461,33.3495326907769,3505.0,PRIEST DR & ELLIOT RD,Tempe,Standard,-111.962917498461,33.3495326907769, , , 
483,1239,-111.962998576672,33.3526714569119,3493.0,PRIEST DR & TODD DR,Tempe,Standard,-111.962998576672,33.3526714569119, , , 
484,1240,-111.962959030594,33.3555687455461,3491.0,PRIEST DR & DRAKE DR,Tempe,Standard,-111.962959030594,33.3555687455461, , , 
485,1241,-111.963008578261,33.3576442855287,3490.0,PRIEST DR & BELL DE MAR DR,Tempe,Standard,-111.963008578261,33.3576442855287, , , 
486,1246,-111.960737733204,33.3850338810932,3502.0,PRIEST DR & AZ MILLS EAST,Tempe,Standard,-111.960737733204,33.3850338810932, , , 
487,1247,-111.960659990435,33.388978335854695,3507.0,PRIEST DR & MANHATTON DR,Tempe,Standard,-111.960659990435,33.388978335854695, , , 
488,1248,-111.9605274791,33.3935038765869,3509.0,PRIEST DR & SOUTHERN AVE,Tempe,Standard,-111.9605274791,33.3935038765869, , , 
489,1249,-111.960607135616,33.3967273083944,3506.0,PRIEST DR & FAIRMONT DR,Tempe,Standard,-111.960607135616,33.3967273083944, , , 
490,1250,-111.96058213190099,33.400994594766196,3500.0,PRIEST DR & ALAMEDA DR,Tempe,Standard,-111.96058213190099,33.400994594766196, , , 
491,1251,-111.96062381461701,33.4040108604649,3498.0,PRIEST DR & 23RD ST,Tempe,Standard,-111.96062381461701,33.4040108604649, , , 
492,1252,-111.960632670635,33.4081802223923,3504.0,PRIEST DR & BROADWAY RD,Tempe,Standard,-111.960632670635,33.4081802223923, , , 
493,1253,-111.960627472426,33.4097918735225,3492.0,PRIEST DR & 17TH ST,Tempe,Standard,-111.960627472426,33.4097918735225, , , 
