JANUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,1/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,40,Tem†,0,0,0,2,9,1,1,2,0,13,65,30.7,153.5,0.4, 43 ,-69.8%,,,,,,,,,,,,,,,,,,,,,,
SU,41,Avo,11,0,6,33,62,8,10,6,1,130,649,39.1,195.5,3.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,41,Phx,143,0,84,563,"1,136",109,117,55,15,"2,152","10,758","1,434.4","7,172.0",1.5," 2,388 ",-9.9%,,,,,,,,,,,,,,,,,,,,,,
SU,41,Sct,8,0,5,29,41,4,7,4,0,94,470,180.9,904.5,0.5, 117 ,-19.7%,,,,,,,,,,,,,,,,,,,,,,
SU,43,Gln,16,0,13,70,135,17,12,9,2,263,"1,316",185.3,926.5,1.4, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,43,Phx,52,0,39,239,413,42,37,35,8,822,"4,110",937.1,"4,685.5",0.9," 1,065 ",-22.8%,,,,,,,,,,,,,,,,,,,,,,
SU,44,PaVa†,3,0,1,19,7,10,1,2,0,41,204,252.5,"1,262.5",0.2, 23 ,78.3%,,,,,,,,,,,,,,,,,,,,,,
SU,44,Phx,46,0,29,402,485,92,34,24,7,"1,088","5,439","1,126.6","5,633.0",1.0," 1,130 ",-3.7%,,,,,,,,,,,,,,,,,,,,,,
SU,45,Phx,18,0,13,82,259,18,22,18,5,412,"2,060",517.6,"2,588.0",0.8, 479 ,-14.0%,,,,,,,,,,,,,,,,,,,,,,
SU,45,Tem,13,0,11,67,171,17,12,11,2,291,"1,454",336.0,"1,680.0",0.9, 298 ,-2.3%,,,,,,,,,,,,,,,,,,,,,,
SU,48,Phx,1,0,1,3,13,1,3,0,0,22,104,71.9,359.5,0.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,48,Tem,11,0,9,79,109,9,20,5,2,237,"1,183",624.6,"3,123.0",0.4, 223 ,6.3%,,,,,,,,,,,,,,,,,,,,,,
SU,50,Gln,6,0,5,26,51,5,3,3,1,96,483,263.3,"1,316.7",0.4, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,50,Phx,106,0,80,576,"1,123",114,54,56,18,"2,053","10,273","1,236.3","6,181.5",1.7," 1,955 ",5.0%,,,,,,,,,,,,,,,,,,,,,,
SU,50,Sct,10,0,4,43,39,6,2,2,0,104,524,77.5,387.5,1.3, 113 ,-8.0%,,,,,,,,,,,,,,,,,,,,,,
SU,51,Gln,21,0,16,86,143,26,17,9,2,309,"1,542",487.3,"2,436.5",0.6, 320 ,-3.4%,,,,,,,,,,,,,,,,,,,,,,
SU,51,GRIC,10,0,9,26,94,7,5,3,2,151,752,261.5,"1,307.5",0.6, 148 ,2.0%,,,,,,,,,,,,,,,,,,,,,,
SU,51,Phx,50,0,34,213,421,51,48,17,6,817,"4,087",849.2,"4,246.0",1.0, 840 ,-2.7%,,,,,,,,,,,,,,,,,,,,,,
SU,52,Phx†,16,0,15,47,150,10,11,9,2,249,"1,245",620.8,"3,104.0",0.4, 162 ,53.7%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Chn,0,0,0,5,3,0,0,1,0,8,47,36.2,181.2,0.2, 8 ,0.0%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Gua,2,0,3,8,30,1,3,1,0,47,233,77.5,387.5,0.6, 52 ,-9.6%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Phx,4,0,3,31,38,5,2,6,0,83,419,149.6,748.0,0.6, 74 ,12.2%,,,,,,,,,,,,,,,,,,,,,,
SU,56,Tem,16,0,17,152,309,20,18,19,3,532,"2,665",528.9,"2,644.5",1.0, 662 ,-19.6%,,,,,,,,,,,,,,,,,,,,,,
SU,59,Gln,32,0,22,115,217,25,13,8,5,424,"2,129",358.3,"1,791.5",1.2, 391 ,8.4%,,,,,,,,,,,,,,,,,,,,,,
SU,59,Phx,20,0,12,62,135,11,9,4,2,249,"1,243",368.2,"1,841.0",0.7, 271 ,-8.1%,,,,,,,,,,,,,,,,,,,,,,
SU,60,Gln,24,0,21,80,176,15,16,10,1,332,"1,655",150.5,752.5,2.2, 314 ,5.7%,,,,,,,,,,,,,,,,,,,,,,
SU,60,Phx,42,0,40,264,514,46,36,18,9,942,"4,712",652.1,"3,260.5",1.4, 841 ,12.0%,,,,,,,,,,,,,,,,,,,,,,
SU,61,Mes,56,0,44,205,410,34,30,34,7,779,"3,890",820.6,"4,103.0",0.9, 864 ,-9.8%,,,,,,,,,,,,,,,,,,,,,,
SU,61,Phx,47,0,43,150,376,29,38,24,8,683,"3,420",749.0,"3,745.0",0.9, 763 ,-10.5%,,,,,,,,,,,,,,,,,,,,,,
SU,61,Tem,27,0,18,104,247,28,17,16,3,441,"2,210",383.5,"1,917.5",1.1, 546 ,-19.2%,,,,,,,,,,,,,,,,,,,,,,
SU,62,Tem,24,0,12,107,176,22,10,8,4,351,"1,755",871.8,"4,359.0",0.4, 314 ,11.8%,,,,,,,,,,,,,,,,,,,,,,
SU,65,Tem,15,0,6,78,165,25,14,11,5,303,"1,514",310.7,"1,553.5",1.0, 258 ,17.4%,,,,,,,,,,,,,,,,,,,,,,
