X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-111.8052605,33.40084392,168,3555,16090,STAPLEY DR & 8TH AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7319/16309955528_a3e1eeb807_o.jpg,3569,Northbound,-111.8052605,33.40084392,128
-111.6773312,33.30967217,169,9433,18254,INNOVATION WAY N & S TWINING,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,,https://farm9.staticflickr.com/8675/15877518213_dfeb70d51c_o.jpg,12041,Westbound,-111.6773312,33.30967217,184
-111.6693341,33.30807581,170,9503,18253,PHX-MESA GATEWAY AIRPORT,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1.54115E+12,,https://farm9.staticflickr.com/8745/16946299502_419c8ecfab_o.jpg,11723,Other,-111.6693341,33.30807581,184
-111.7880742,33.43681682,171,4599,16234,GILBERT RD & BROWN RD,Mesa,1,2,1,Yes,2,No,No,Yes,No,Yes,No,Yes,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8582/16495918301_0fa1d5a687_o.jpg,4613,Southbound,-111.7880742,33.43681682,136
-111.6847079,33.4151965,172,5217,12575,POWER RD & MAIN ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8588/16496649902_3ba00410fd_o.jpg,5231,Southbound,-111.6847079,33.4151965,40 | 184
-111.6841768,33.46216148,173,9139,18300,N POWER RD & E MELROSE ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7334/15877519163_ae0866ea31_o.jpg,11657,Southbound,-111.6841768,33.46216148,184
-111.6709177,33.31040765,177,8981,16759,SOSSAMAN & TAHOE AV,Mesa,0,0,0,No,0,No,Yes,Yes,No,No,No,No,Standard,1.54115E+12,,https://farm9.staticflickr.com/8599/16309936098_3d71158a29_o.jpg,11408,Southbound,-111.6709177,33.31040765,184
-111.6842437,33.42717405,178,3028,16739,POWER RD & DECATUR ST,Mesa,1,2,1,No,2,No,No,Yes,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7359/16495919941_887b3d697f_o.jpg,3042,Northbound,-111.6842437,33.42717405,184
-111.8050667,33.44004254,179,3102,16101,STAPLEY DR & GRANDVIEW ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7319/15877540013_aef93f456f_o.jpg,3116,Northbound,-111.8050667,33.44004254,128
-111.7884988,33.40048442,184,5090,16270,GILBERT RD & 8TH AVE,Mesa,1,2,1,No,0,No,No,Yes,No,No,No,Yes,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7318/16310241930_3a1c3000c4_o.jpg,5104,Southbound,-111.7884988,33.40048442,136
-111.7885099,33.3895954,185,5094,16273,GILBERT RD & HAMPTON AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7302/15877533723_63dd7a5873_o.jpg,5108,Southbound,-111.7885099,33.3895954,136
